Article Title,Source Title,"Times Cited, All Databases",Publication Year
Uprooted Phylogenetic Networks,BULLETIN OF MATHEMATICAL BIOLOGY,6,2017
Phylogenetic diversity and biodiversity indices on phylogenetic networks,MATHEMATICAL BIOSCIENCES,5,2018
Labellable Phylogenetic Networks,BULLETIN OF MATHEMATICAL BIOLOGY,2,2023
Orienting undirected phylogenetic networks,JOURNAL OF COMPUTER AND SYSTEM SCIENCES,0,2024
Distinguishing Phylogenetic Networks,SIAM JOURNAL ON APPLIED ALGEBRA AND GEOMETRY,15,2018
Planar Rooted Phylogenetic Networks,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,0,2023
Nonbinary Tree-Based Phylogenetic Networks,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,19,2018
Drawing Rooted Phylogenetic Networks,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,11,2009
Normalising phylogenetic networks,MOLECULAR PHYLOGENETICS AND EVOLUTION,4,2021
Trinets encode orchard phylogenetic networks,JOURNAL OF MATHEMATICAL BIOLOGY,7,2021
QUARTETS AND UNROOTED PHYLOGENETIC NETWORKS,JOURNAL OF BIOINFORMATICS AND COMPUTATIONAL BIOLOGY,31,2012
Extraction of phylogenetic network modules from the metabolic network,BMC BIOINFORMATICS,53,2006
Comparison of Tree-Child Phylogenetic Networks,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,116,2009
LEAF-RECONSTRUCTIBILITY OF PHYLOGENETIC NETWORKS,SIAM JOURNAL ON DISCRETE MATHEMATICS,7,2018
Inferring Phylogenetic Networks Using PhyloNet,SYSTEMATIC BIOLOGY,201,2018
Phylogenetic ComparativeMethods on Phylogenetic Networks with Reticulations,SYSTEMATIC BIOLOGY,57,2018
On Tree-Based Phylogenetic Networks,JOURNAL OF COMPUTATIONAL BIOLOGY,38,2016
Maximum Covering Subtrees for Phylogenetic Networks,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,0,2021
Non-essential arcs in phylogenetic networks,JOURNAL OF COMPUTER AND SYSTEM SCIENCES,1,2022
Transforming phylogenetic networks: Moving beyond tree space,JOURNAL OF THEORETICAL BIOLOGY,20,2016
Tree-based unrooted nonbinary phylogenetic networks,MATHEMATICAL BIOSCIENCES,8,2018
"Phylogenetic networks: Modeling, reconstructibility, and accuracy",IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,163,2004
Tree-Based Unrooted Phylogenetic Networks,BULLETIN OF MATHEMATICAL BIOLOGY,17,2018
Displaying trees across two phylogenetic networks,THEORETICAL COMPUTER SCIENCE,5,2019
Defining phylogenetic networks using ancestral profiles,MATHEMATICAL BIOSCIENCES,4,2021
On Nakhleh's Metric for Reduced Phylogenetic Networks,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,12,2009
PhyloNetworks: A Package for Phylogenetic Networks,MOLECULAR BIOLOGY AND EVOLUTION,225,2017
Locating a tree in a phylogenetic network,INFORMATION PROCESSING LETTERS,57,2010
BIMLR: A method for constructing rooted phylogenetic networks from rooted phylogenetic trees,GENE,9,2013
Counting Phylogenetic Networks,ANNALS OF COMBINATORICS,37,2015
Measuring Community Similarity with Phylogenetic Networks,MOLECULAR BIOLOGY AND EVOLUTION,21,2012
Biochemical and phylogenetic networks-II: X-trees and phylogenetic trees,JOURNAL OF MATHEMATICAL CHEMISTRY,2,2021
Bounds for phylogenetic network space metrics,JOURNAL OF MATHEMATICAL BIOLOGY,8,2018
A program for verification of phylogenetic network models,BIOINFORMATICS,15,2016
Unrooted non-binary tree-based phylogenetic networks,DISCRETE APPLIED MATHEMATICS,4,2021
Characterization of phylogenetic networks with NetTest,BMC BIOINFORMATICS,12,2010
The Space of Tree-Based Phylogenetic Networks,BULLETIN OF MATHEMATICAL BIOLOGY,2,2020
On encodings of phylogenetic networks of bounded level,JOURNAL OF MATHEMATICAL BIOLOGY,29,2012
Tripartitions do not always discriminate phylogenetic networks,MATHEMATICAL BIOSCIENCES,29,2008
Improved Maximum Parsimony Models for Phylogenetic Networks,SYSTEMATIC BIOLOGY,11,2018
A Metric on the Space of Reduced Phylogenetic Networks,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,36,2010
Comparing the topology of phylogenetic network generators,JOURNAL OF BIOINFORMATICS AND COMPUTATIONAL BIOLOGY,11,2021
Maximum Parsimony on Phylogenetic networks,ALGORITHMS FOR MOLECULAR BIOLOGY,47,2012
Folding and unfolding phylogenetic trees and networks,JOURNAL OF MATHEMATICAL BIOLOGY,22,2016
"Circular Planar Electrical Networks, Split Systems, and Phylogenetic Networks",SIAM JOURNAL ON APPLIED ALGEBRA AND GEOMETRY,0,2023
Computing the maximum agreement of phylogenetic networks,THEORETICAL COMPUTER SCIENCE,50,2005
Trinets encode tree-child and level-2 phylogenetic networks,JOURNAL OF MATHEMATICAL BIOLOGY,33,2014
Perfect phylogenetic networks with recombination,JOURNAL OF COMPUTATIONAL BIOLOGY,168,2001
Encoding and Constructing 1-Nested Phylogenetic Networks with Trinets,ALGORITHMICA,26,2013
Rearrangement moves on rooted phylogenetic networks,PLOS COMPUTATIONAL BIOLOGY,17,2017
Drawing explicit phylogenetic networks and their integration into SplitsTree,BMC EVOLUTIONARY BIOLOGY,82,2008
The agreement distance of rooted phylogenetic networks,DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE,1,2019
Metrics for Phylogenetic Networks II: Nodal and Triplets Metrics,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,22,2009
The fine structure of galls in phylogenetic networks,INFORMS JOURNAL ON COMPUTING,59,2004
Phylogenetic Networks that Display a Tree Twice,BULLETIN OF MATHEMATICAL BIOLOGY,15,2014
The agreement distance of unrooted phylogenetic networks,DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE,0,2020
The maximum agreement of two nested phylogenetic networks,ALGORITHMS AND COMPUTATION,2,2004
Clustering systems of phylogenetic networks,THEORY IN BIOSCIENCES,2,2023
Generation of Binary Tree-Child phylogenetic networks,PLOS COMPUTATIONAL BIOLOGY,7,2019
Application of phylogenetic networks in evolutionary studies,MOLECULAR BIOLOGY AND EVOLUTION,6915,2006
Merging Arcs to Produce Acyclic Phylogenetic Networks and Normal Networks,BULLETIN OF MATHEMATICAL BIOLOGY,1,2022
Embedding phylogenetic trees in networks of low treewidth,DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE,0,2023
Phylogenetic networks from multi-labelled trees,JOURNAL OF MATHEMATICAL BIOLOGY,47,2006
Binets: Fundamental Building Blocks for Phylogenetic Networks,BULLETIN OF MATHEMATICAL BIOLOGY,6,2017
Phylogenetic Networks as Circuits With Resistance Distance,FRONTIERS IN GENETICS,3,2020
Phylogenetic networks that are their own fold-ups,ADVANCES IN APPLIED MATHEMATICS,6,2020
Phylogenetic Networks with Every Embedded Phylogenetic Tree a Base Tree,BULLETIN OF MATHEMATICAL BIOLOGY,25,2016
Galois connections for phylogenetic networks and their polytopes,JOURNAL OF ALGEBRAIC COMBINATORICS,2,2021
NetRAX: accurate and fast maximum likelihood phylogenetic network inference,BIOINFORMATICS,10,2022
Counting phylogenetic networks of level 1 and 2,JOURNAL OF MATHEMATICAL BIOLOGY,11,2020
Reducing distortion in phylogenetic networks,"ALGORITHMS IN BIOINFORMATICS, PROCEEDINGS",15,2006
A Metric on the Space of Partly Reduced Phylogenetic Networks,BIOMED RESEARCH INTERNATIONAL,3,2016
Phylogenetic networks based on the molecular clock hypothesis,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,0,2007
Improved layout of phylogenetic networks,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,21,2008
How tree-based is my network? Proximity measures for unrooted phylogenetic networks,DISCRETE APPLIED MATHEMATICS,5,2020
COUNTING TREES IN A PHYLOGENETIC NETWORK IS #P-COMPLETE,SIAM JOURNAL ON COMPUTING,11,2013
Tanglegrams for rooted phylogenetic trees and networks,BIOINFORMATICS,78,2011
"Autopolyploidy, Allopolyploidy, and Phylogenetic Networks with Horizontal Arcs",BULLETIN OF MATHEMATICAL BIOLOGY,0,2023
APPROXIMATING METRICS WITH PLANAR BOUNDARY-LABELED PHYLOGENETIC NETWORKS,JOURNAL OF BIOINFORMATICS AND COMPUTATIONAL BIOLOGY,0,2012
Phylogenetic network classes through the lens of expanding covers,JOURNAL OF MATHEMATICAL BIOLOGY,0,2024
A Practical Algorithm for Reconstructing Level-1 Phylogenetic Networks,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,15,2011
Reconstructible Phylogenetic Networks: Do Not Distinguish the Indistinguishable,PLOS COMPUTATIONAL BIOLOGY,59,2015
Components of Phylogenetic Signal in Antagonistic and Mutualistic Networks,AMERICAN NATURALIST,31,2014
Faster computation of the Robinson-Foulds distance between phylogenetic networks,INFORMATION SCIENCES,2,2012
A Phylogenetic Networks perspective on reticulate human evolution,ISCIENCE,6,2021
When is a Phylogenetic Network Simply an Amalgamation of Two Trees?,BULLETIN OF MATHEMATICAL BIOLOGY,4,2018
Prioritizing Populations for Conservation Using Phylogenetic Networks,PLOS ONE,48,2014
Constructing a smallest refining galled phylogenetic network,"RESEARCH IN COMPUTATIONAL MOLECULAR BIOLOGY, PROCEEDINGS",26,2005
Phylogenetic network for European mtDNA,AMERICAN JOURNAL OF HUMAN GENETICS,301,2001
"Phylogenetic networks, trees, and clusters","COMPUTATIONAL SCIENCE - ICCS 2005, PT 2",2,2005
Phylogenetic super-networks from partial trees,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,106,2004
LNETWORK: an efficient and effective method for constructing phylogenetic networks,BIOINFORMATICS,15,2013
On the complexity of optimising variants of phylogenetic diversity on phylogenetic networks,THEORETICAL COMPUTER SCIENCE,0,2022
Spaces of phylogenetic networks from generalized nearest-neighbor interchange operations,JOURNAL OF MATHEMATICAL BIOLOGY,15,2016
NETGEN: generating phylogenetic networks with diploid hybrids,BIOINFORMATICS,17,2006
Intertwining phylogenetic trees and networks,METHODS IN ECOLOGY AND EVOLUTION,182,2017
Revision 1: parsimony optimization of phylogenetic networks,CLADISTICS,3,2023
Extended Newick: it is time for a standard representation of phylogenetic networks,BMC BIOINFORMATICS,73,2008
A program to compute the soft Robinson-Foulds distance between phylogenetic networks,BMC GENOMICS,9,2017
Constructing the Simplest Possible Phylogenetic Network from Triplets,ALGORITHMICA,33,2011
Exploring phylogenetic hypotheses via Gibbs sampling on evolutionary networks,BMC GENOMICS,2,2016
A perl package and an alignment tool for phylogenetic networks,BMC BIOINFORMATICS,16,2008
A Survey of Methods for Constructing Rooted Phylogenetic Networks,PLOS ONE,1,2016
Classes of explicit phylogenetic networks and their biological and mathematical significance,JOURNAL OF MATHEMATICAL BIOLOGY,15,2022
Constructing Phylogenetic Networks Based on the Isomorphism of Datasets,BIOMED RESEARCH INTERNATIONAL,0,2016
A Survey of Combinatorial Methods for Phylogenetic Networks,GENOME BIOLOGY AND EVOLUTION,153,2011
A distance metric for a class of tree-sibling phylogenetic networks,BIOINFORMATICS,51,2008
A new algorithm to construct phylogenetic networks from trees,GENETICS AND MOLECULAR RESEARCH,10,2014
A review of metrics measuring dissimilarity for rooted phylogenetic networks,BRIEFINGS IN BIOINFORMATICS,7,2019
Manifold influences of phylogenetic structure on a plant-herbivore network,OIKOS,11,2017
A polynomial invariant for a new class of phylogenetic networks,PLOS ONE,5,2022
