Article Title,Source Title,"Times Cited, All Databases",Publication Year
"Forgotten in the taxonomic literature: resurrection of the scleractinian coral genus Sclerophyllia (Scleractinia, Lobophylliidae) from the Arabian Peninsula and its phylogenetic relationships",SYSTEMATICS AND BIODIVERSITY,22,2015
"Cryptic species, gene recombination and hybridization in the genus Spiraeanthemum (Cunoniaceae) from New Caledonia",BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,39,2009
Biogeographic patterns and phylogeography of dwarf chameleons (Bradypodion) in an African biodiversity hotspot,MOLECULAR ECOLOGY,127,2006
Revealing viral diversity in the Napahai plateau wetland based on metagenomics,ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,0,2024
"DNA barcoding revealed the presence of the invasive freshwater mussel Sinanodonta aff. woodiana (Lea, 1834) in Afghanistan",ZOOSYSTEMA,0,2024
Functional Conservation and Genetic Divergence of Chordate Glycinergic Neurotransmission: Insights from Amphioxus Glycine Transporters,CELLS,2,2021
"Heavy Metal Transporters-Associated Proteins in Solanum tuberosum: Genome-Wide Identification, Comprehensive Gene Feature, Evolution and Expression Analysis",GENES,24,2020
"Impact of Orogeny and Environmental Change on Genetic Divergence and Demographic History of Dipus sagitta (Dipodoidea, Dipodinae) since the Pliocene in Inland East Asia",JOURNAL OF MAMMALIAN EVOLUTION,16,2019
Genetic variability of wildlife-derived Sarcoptes scabiei determined by the ribosomal ITS-2 and mitochondrial 16S genes,EXPERIMENTAL AND APPLIED ACAROLOGY,4,2018
Genetic diversity of porcine circovirus type 2 (PCV2) in Thailand during 2009-2015,VETERINARY MICROBIOLOGY,38,2017
Cellular Assays for Ferredoxins: A Strategy for Understanding Electron Flow through Protein Carriers That Link Metabolic Pathways,BIOCHEMISTRY,42,2016
"Genetic diversity, seasonality and transmission network of human metapneumovirus: identification of a unique sub-lineage of the fusion and attachment genes",SCIENTIFIC REPORTS,43,2016
Evolutionary History of Triticum petropavlovskyi Udacz. et Migusch Inferred from the Sequences of the 3-Phosphoglycerate Kinase Gene,PLOS ONE,10,2013
Probability Steiner trees and maximum parsimony in phylogenetic analysis,JOURNAL OF MATHEMATICAL BIOLOGY,4,2012
"Mitochondrial DNA Variations in Sibling Species of the Bulinus truncatus/tropicus Complex in Lake Albert, Western Uganda",ZOOLOGICAL STUDIES,10,2010
The tertiary structure of group II introns: implications for biological function and evolution,CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,112,2010
Plasticity of genetic interactions in metabolic networks of yeast,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,191,2007
Postglacial population expansion of Japanese macaques (Macaca fuscata) inferred from mitochondrial DNA phylogeography,PRIMATES,86,2007
High mitochondrial diversity within and among populations of Malagasy poison frogs,MOLECULAR PHYLOGENETICS AND EVOLUTION,33,2004
Molecular evolution of the vertebrate blood coagulation network,THROMBOSIS AND HAEMOSTASIS,86,2003
Genome-Wide Analysis of the Lateral Organ Boundaries Domain (LBD) Gene Family in Sweet Potato (Ipomoea batatas),GENES,1,2024
